n  m  p  classic_rank  comm_rank
2  2  2       7            7
2  2  3       11           10
2  2  4       14           13
2  2  5       18           16
2  3  3       15           15
2  3  4       20           20
2  3  5       ? (25)       ?26 (24)
2  4  4       ? (26)       ?26 (26)
2  4  5       ? (33)       ?32 (32)
2  5  5       ? (40)       ?42 (40)
3  3  3       ? (23)       ?23 (21)
3  3  4       ? (29)       ? (28)
3  3  5       ? (36)       ? (33)
3  4  4       ? (38)       ? (36)
4  4  4       ? (49)       ?48 (46)
